<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.04.07	21:45:00	2971.88	2972.47	2964.11	2965.87
2025.04.07	22:00:00	2965.87	2972.87	2965.41	2971.84
2025.04.07	22:15:00	2971.77	2975.5	2969.55	2974.14
2025.04.07	22:30:00	2974.13	2982.01	2973.55	2978.51
2025.04.07	22:45:00	2978.71	2978.82	2974.93	2976.68
2025.04.07	23:00:00	2976.78	2980.62	2970.12	2979.35
2025.04.07	23:15:00	2979.35	2985.86	2979.31	2983.93
2025.04.07	23:30:00	2983.93	2986	2983.44	2985.19
2025.04.07	23:45:00	2985.2	2985.23	2982.66	2982.66
2025.04.08	01:00:00	2983.22	2987.31	2981.15	2983.67
2025.04.08	01:15:00	2983.67	2985.73	2982.42	2985.71
2025.04.08	01:30:00	2985.63	2988.47	2983.73	2983.86
2025.04.08	01:45:00	2983.83	2988.61	2983.56	2986.82
2025.04.08	02:00:00	2986.82	2987.48	2985.05	2985.85
2025.04.08	02:15:00	2985.85	2985.93	2981.7	2981.91
2025.04.08	02:30:00	2981.84	2983.29	2978.63	2980.03
2025.04.08	02:45:00	2980.03	2983.33	2980.03	2981.33
2025.04.08	03:00:00	2981.33	2987.18	2980.5	2985.33
2025.04.08	03:15:00	2985.36	2989.16	2983.74	2989.08
2025.04.08	03:30:00	2989.08	2992.72	2988.72	2991.74
2025.04.08	03:45:00	2991.74	2991.89	2983.05	2985.44
2025.04.08	04:00:00	2985.44	3000.98	2983.72	2995.36
2025.04.08	04:15:00	2995.42	2999.82	2989.68	2996.17
2025.04.08	04:30:00	2996.17	3003.17	2994.97	3000.11
2025.04.08	04:45:00	3000.09	3001.24	2996.23	2999.92
2025.04.08	05:00:00	2999.92	3004.7	2999	3002.51
2025.04.08	05:15:00	3002.51	3003.35	2998.32	2999.76
2025.04.08	05:30:00	2999.71	3004.94	2998.57	3003.67
2025.04.08	05:45:00	3003.67	3004.22	2999.52	3000.98
2025.04.08	06:00:00	3000.99	3001.1	2993.1	2995.45
2025.04.08	06:15:00	2995.45	3000.81	2994.05	2995.32
2025.04.08	06:30:00	2995.32	2998.61	2994.86	2998.33
2025.04.08	06:45:00	2998.36	2999.01	2993.7	2994.74
2025.04.08	07:00:00	2994.67	2999.78	2994.2	2998.48
2025.04.08	07:15:00	2998.59	2998.91	2995.31	2995.9
2025.04.08	07:30:00	2995.9	2997.41	2990.9	2995.53
2025.04.08	07:45:00	2995.53	3003.06	2994.61	3002.38
2025.04.08	08:00:00	3002.2	3004.5	3000.21	3004.25
2025.04.08	08:15:00	3004.25	3005.3	2999.87	3000.04
2025.04.08	08:30:00	3000.03	3005.16	2999.55	3000.39
2025.04.08	08:45:00	3000.43	3008.44	3000.39	3005.77
2025.04.08	09:00:00	3005.72	3006.41	3002.48	3004.6
2025.04.08	09:15:00	3004.62	3013.48	3004.3	3011.86
2025.04.08	09:30:00	3011.86	3015.93	3010.55	3013.7
2025.04.08	09:45:00	3013.7	3014.07	3011.19	3013.36
2025.04.08	10:00:00	3013.64	3013.64	3008.29	3012.22
2025.04.08	10:15:00	3012.25	3014	3007.6	3010.24
2025.04.08	10:30:00	3010.24	3011.46	3002.45	3003.21
2025.04.08	10:45:00	3003.25	3006.66	3001.93	3003.69
2025.04.08	11:00:00	3003.57	3008.05	3001.37	3007.48
2025.04.08	11:15:00	3007.48	3009.38	3006.35	3008.93
2025.04.08	11:30:00	3008.93	3009.13	3003.66	3007.46
2025.04.08	11:45:00	3007.46	3008.09	3004.3	3007.5
2025.04.08	12:00:00	3007.48	3007.48	3002.48	3003.15
2025.04.08	12:15:00	3003.15	3003.22	2994.86	2995.82
2025.04.08	12:30:00	2995.85	3007.74	2995.85	3006.46
2025.04.08	12:45:00	3006.36	3007.71	3003.22	3006.89
2025.04.08	13:00:00	3006.97	3008.6	3004.14	3005.46
2025.04.08	13:15:00	3005.34	3008.77	3004.65	3008.05
2025.04.08	13:30:00	3008.05	3009.97	3005.4	3008.21
2025.04.08	13:45:00	3008.21	3010.29	3007.1	3009
2025.04.08	14:00:00	3009	3011.89	3008.72	3011.43
2025.04.08	14:15:00	3011.44	3014.24	3010.41	3010.62
2025.04.08	14:30:00	3010.63	3013.32	3008.93	3009.25
2025.04.08	14:45:00	3009.26	3019.43	3009.22	3017.48
2025.04.08	15:00:00	3017.5	3019.56	3014.23	3017.58
2025.04.08	15:15:00	3017.52	3017.52	3003.31	3009.66
2025.04.08	15:30:00	3009.67	3012.99	3006.82	3007.07
2025.04.08	15:45:00	3007.07	3008.49	3002.48	3002.63
2025.04.08	16:00:00	3002.61	3020.58	3002.61	3018.62
2025.04.08	16:15:00	3018.62	3022.7	3013.26	3013.81
2025.04.08	16:30:00	3013.74	3017.16	3006.48	3006.88
2025.04.08	16:45:00	3006.95	3011.86	3004.01	3010.44
2025.04.08	17:00:00	3010.36	3018.07	3009.24	3011.57
2025.04.08	17:15:00	3011.55	3014.86	3008.43	3012.53
2025.04.08	17:30:00	3012.53	3017.6	3010.28	3014.11
2025.04.08	17:45:00	3014.11	3018.25	3005.82	3006.21
2025.04.08	18:00:00	3006.21	3008.07	3002.56	3004.59
2025.04.08	18:15:00	3004.63	3010.11	3004.47	3007.78
2025.04.08	18:30:00	3007.86	3012.4	3004.69	3005.12
2025.04.08	18:45:00	3005.14	3006.45	3001.36	3001.47
2025.04.08	19:00:00	3001.54	3001.54	2994.64	2999.28
2025.04.08	19:15:00	2999.38	2999.57	2992.46	2994.73
2025.04.08	19:30:00	2994.75	2996.04	2985.21	2985.48
2025.04.08	19:45:00	2985.47	2990.96	2984.37	2986.07
2025.04.08	20:00:00	2986.05	2986.43	2976.35	2981.14
2025.04.08	20:15:00	2981.26	2984.27	2975.29	2976.53
2025.04.08	20:30:00	2976.53	2983.79	2974.76	2983.4
2025.04.08	20:45:00	2983.4	2987.64	2981.95	2985.23
2025.04.08	21:00:00	2985.23	2985.64	2979.37	2980.62
2025.04.08	21:15:00	2980.62	2985.9	2979.99	2985.72
2025.04.08	21:30:00	2985.73	2992.37	2985.73	2986.74
2025.04.08	21:45:00	2986.74	2988.2	2981.62	2983.69
2025.04.08	22:00:00	2983.62	2987.57	2981.6	2982.48
2025.04.08	22:15:00	2982.43	2982.93	2977.95	2981.29
2025.04.08	22:30:00	2981.3	2982.92	2976.72	2981.74
2025.04.08	22:45:00	2981.74	2987.32	2980.83	2984.98
2025.04.08	23:00:00	2984.87	2986.58	2980.33	2980.33
2025.04.08	23:15:00	2980.33	2980.72	2977.05	2980.69
2025.04.08	23:30:00	2980.69	2981.81	2979.22	2980.74
2025.04.08	23:45:00	2980.74	2983.01	2980.66	2982.4
2025.04.09	01:00:00	2983.54	2985.66	2981.13	2981.67
2025.04.09	01:15:00	2981.67	2985.14	2980.99	2984.54
2025.04.09	01:30:00	2984.54	2985.35	2980.62	2980.8
2025.04.09	01:45:00	2980.8	2983.05	2980.24	2981.91
2025.04.09	02:00:00	2981.91	2990.83	2981.91	2985.02
2025.04.09	02:15:00	2985.02	2985.16	2979.27	2981.11
2025.04.09	02:30:00	2981.11	2981.3	2970.04	2973.87
2025.04.09	02:45:00	2973.87	2980.01	2970.46	2978.5
2025.04.09	03:00:00	2978.69	2984.84	2975.07	2977.98
2025.04.09	03:15:00	2977.97	2985.62	2975.71	2984.37
2025.04.09	03:30:00	2984.35	2987.06	2976.88	2984.64
2025.04.09	03:45:00	2984.64	2986.18	2974.81	2980.42
2025.04.09	04:00:00	2980.42	2981.32	2972.53	2978.7
2025.04.09	04:15:00	2978.54	2991.67	2977.3	2990.29
2025.04.09	04:30:00	2990.15	3002.58	2988.52	3000.23
2025.04.09	04:45:00	3000.23	3009.89	2999.62	3008.72
2025.04.09	05:00:00	3008.74	3011.18	3004.33	3007.69
2025.04.09	05:15:00	3007.56	3009.55	3000.02	3004.65
2025.04.09	05:30:00	3004.65	3007.87	3002.92	3006.27
2025.04.09	05:45:00	3006.27	3008.96	3000.09	3003.12
2025.04.09	06:00:00	3003.04	3008.01	3002.65	3007.64
2025.04.09	06:15:00	3007.64	3008.8	3004.62	3008.32
2025.04.09	06:30:00	3008.35	3009.56	3003.13	3006.57
2025.04.09	06:45:00	3006.55	3009.08	3003.56	3004.53
2025.04.09	07:00:00	3004.53	3009.35	2999.8	3006.81
2025.04.09	07:15:00	3006.81	3012.11	3006.29	3008.51
2025.04.09	07:30:00	3008.51	3011.88	3007.57	3010.44
2025.04.09	07:45:00	3010.44	3014.11	3008.52	3012.4
2025.04.09	08:00:00	3012.4	3018.39	3005.47	3015.73
2025.04.09	08:15:00	3015.78	3020.51	3013.87	3017.43
2025.04.09	08:30:00	3017.52	3018.53	3012.04	3015.91
2025.04.09	08:45:00	3015.8	3018.33	3014.33	3015.51
2025.04.09	09:00:00	3015.51	3025.3	3015.04	3020.42
2025.04.09	09:15:00	3020.42	3033.21	3019.89	3029.45
2025.04.09	09:30:00	3029.45	3035.68	3028.08	3030.46
2025.04.09	09:45:00	3030.45	3040.83	3029.63	3038.99
2025.04.09	10:00:00	3039.15	3052.38	3034.35	3045.15
2025.04.09	10:15:00	3045.29	3046.56	3041.13	3043.11
2025.04.09	10:30:00	3043.11	3048.44	3041.24	3046.1
2025.04.09	10:45:00	3046.1	3047.49	3039.65	3041.03
2025.04.09	11:00:00	3040.93	3047.42	3038.39	3043.51
2025.04.09	11:15:00	3044.07	3051.05	3044.03	3045.42
2025.04.09	11:30:00	3045.42	3046.56	3040.39	3044.94
2025.04.09	11:45:00	3044.99	3046.92	3041.87	3044.08
2025.04.09	12:00:00	3044.07	3046.41	3038.95	3042.3
2025.04.09	12:15:00	3042.3	3048.08	3041.89	3043.83
2025.04.09	12:30:00	3043.84	3049.84	3043.54	3047.16
2025.04.09	12:45:00	3047.16	3047.36	3044.65	3045.02
2025.04.09	13:00:00	3045.04	3047.2	3040.73	3041.26
2025.04.09	13:15:00	3040.98	3042.57	3038.37	3039.44
